AK,722718,0.00031848,0.000152317,6.22649E-05,0.000210317,0.000116228,4.28936E-05,4.5661E-05,5.3963E-05,4.5661E-05,606150.5806,635115.8182,1056280.154,1576839.273,0.00026891,0.000242475,0.00012402,6.97598E-05,1189988.87,519640.2149,975648.081,1734523.2,2.35296E-05,0.000107767,3.07488E-05,1.90254E-05,2422477.342,343333.7134,4260329.954,2785749.382,2.60064E-05,3.7864E-05,2.58196E-06,4.30764E-06,845944.4688,448974.856,4647632.677,4178624.073,0.000169042,0.00024723,4.66904E-05,1.45981E-05,70988.34703,32358.54818,257011.9453,959028.4757,0.00026765,0.003121277,0.000525267,5.83924E-05,302634.5321,6407.633303,49498.59687,616518.3058,0.000287475,0.007803193,0.000404052,0.000261144,90442.50384,1794.137325,29699.15812,896057.6619,0.002321917,0.010590048,0.000505065,1.2276E-05,30578.17987,11142.53707,45538.70912,52785942.26,0.002223808,0.004038578,0.001251682,4.16778E-07,37773.04572,8418.805786,15978.49443,11996805.06,0.000158843,0.018529944,0.002002692,2.41731E-06,686210.3306,3345.935633,73401.20877,20684146.65,1.74873E-05,0.056187572,0.000245228,6.28501E-07,743394.5248,1299.219687,89712.5885,17501970.25,0.000343021,0.092363132,0.001538246,1.42841E-06,75797.08881,324.8049218,22753.19274
AL,4802740,0.000164073,0.000119723,0.000264641,0.000500548,0.000245901,0.000290043,9.76526E-05,0.000199886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,2937979,0.000221921,8.40714E-05,0.000224304,0.000497961,0.000258341,0.000245407,5.71822E-05,0.000139552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,6482505,9.34824E-05,5.95449E-05,0.000137601,0.000243887,0.000135287,0.000207327,4.7204E-05,0.000112457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,37691912,4.55005E-05,3.89739E-05,0.000139552,0.000208002,9.87745E-05,0.000117824,3.57371E-05,7.48702E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,5116796,4.98359E-05,4.96404E-05,9.20498E-05,0.000181559,9.34178E-05,0.000134264,2.8338E-05,8.48187E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,3580709,0.000107241,0.000110872,0.000239059,0.000372552,0.000223699,0.000339598,6.95393E-05,0.000178736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,907135,0.000158742,0.00012567,0.000318585,0.000502682,0.000326302,0.000380318,9.81111E-05,0.000165356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19057542,0.00014939,0.000148708,0.00022007,0.000384415,0.000220752,0.000381476,9.592E-05,0.000213459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,9815210,0.000103411,6.84652E-05,0.000181249,0.000336417,0.000153843,0.000193577,4.86999E-05,0.00012124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,1374810,1.7457E-05,1.38201E-05,0.000167296,0.000222576,0.00014111,2.47307E-05,2.61854E-05,2.69128E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,3062309,0.000169153,6.13916E-05,0.000155112,0.000351042,0.000184501,0.000145315,3.72268E-05,0.000114293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1584985,7.12941E-05,7.57105E-06,0.000112935,0.000227131,0.000114828,8.20197E-05,1.89276E-05,3.65934E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,12869257,9.63537E-05,0.000153233,0.000223867,0.000400722,0.00021159,0.000355421,0.000106455,0.000224566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,6516922,0.000165416,0.000127821,0.000235541,0.00045098,0.00023953,0.000300755,8.30147E-05,0.00016296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,2871238,0.000206879,7.87117E-05,0.000181455,0.000318678,0.000148368,0.000183893,5.22423E-05,0.000113888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,4369356,0.000166615,0.000118782,0.000275784,0.000443315,0.000269376,0.000435076,7.39239E-05,0.000210786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,4574836,0.00016241,5.18051E-05,0.000200007,0.000374877,0.000198696,0.000208969,6.64505E-05,0.000135743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,6587536,0.000111119,0.000161669,0.000217532,0.000377531,0.000206299,0.000286602,0.000121138,0.000275672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,5828289,0.000121133,0.000219618,0.000284303,0.000480072,0.000253248,0.000425682,0.000126795,0.000252733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,1328188,0.000154346,0.00010616,0.000191991,0.00042765,0.000154346,0.000198014,7.07731E-05,0.000100889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,9876187,0.000134161,0.000125757,0.000263665,0.000422025,0.000200178,0.000398939,0.000121909,0.000248274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,5344861,8.32575E-05,9.18639E-05,0.000153793,0.000274469,0.000144251,0.000134709,3.96643E-05,0.000134148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
